"herbicide","model","wi","dpar","link","parameter","Estimate","Q2.5","Q97.5"
"irgarol","ecx4param",0.314180586632018,"mu","identity","top",0.70605153,0.668233479,0.7479211735
"irgarol","ecx4param",0.314180586632018,"mu","identity","bot",0.00620808155,0.0035815131325,0.009737926925
"irgarol","ecx4param",0.314180586632018,"mu","identity","beta",0.573941505,0.46746984725,0.687102736
"irgarol","ecx4param",0.314180586632018,"mu","identity","ec50",0.498472022306521,0.437828496307344,0.56333275581623
"irgarol","ecxwb1",0.306500717054117,"mu","identity","top",0.83725544,0.7627426285,0.92951168
"irgarol","ecxwb1",0.306500717054117,"mu","identity","bot",0.00862974045,0.0060157427275,0.01218204555
"irgarol","ecxwb1",0.306500717054117,"mu","identity","beta",-0.162912335,-0.310773589,-0.00590467085500005
"irgarol","ecxwb1",0.306500717054117,"mu","identity","ec50",0.597198804627817,0.490566237413398,0.702425967463826
"irgarol","ecxwb2",0.030764644510304,"mu","identity","top",0.668248675,0.6417059255,0.69536816275
"irgarol","ecxwb2",0.030764644510304,"mu","identity","bot",0.00513807485,0.0023781525425,0.0088689271775
"irgarol","ecxwb2",0.030764644510304,"mu","identity","beta",0.357667795,0.2723823215,0.44582862975
"irgarol","ecxwb2",0.030764644510304,"mu","identity","ec50",0.381321367567887,0.345708895710048,0.420214593918026
"irgarol","ecxwb2p3",0.00163812248913586,"mu","identity","top",0.6755585,0.6482805695,0.70424801975
"irgarol","ecxwb2p3",0.00163812248913586,"mu","identity","beta",0.249173355,0.16966503575,0.31718091675
"irgarol","ecxwb2p3",0.00163812248913586,"mu","identity","ec50",0.369498621252704,0.332052297539691,0.407029949605936
"irgarol","nec3param",0.000913425297828459,"mu","identity","top",0.67050698,0.64155357925,0.698330945
"irgarol","nec3param",0.000913425297828459,"mu","identity","beta",0.033865377,-0.03632860625,0.0954302391999999
"irgarol","nec3param",0.000913425297828459,"mu","identity","nec",0.22668725337365,0.208291750085353,0.244050958915193
"irgarol","nec4param",0.000742439663550052,"mu","identity","top",0.67058268,0.63930117,0.6998541605
"irgarol","nec4param",0.000742439663550052,"mu","identity","bot",0.0038322312,0.0010499775025,0.008160842585
"irgarol","nec4param",0.000742439663550052,"mu","identity","beta",0.0954238475,0.00769751059,0.18628094275
"irgarol","nec4param",0.000742439663550052,"mu","identity","nec",0.231761408076949,0.212824031603722,0.24980970649067
"irgarol","ecxll3",0.000420617711695517,"mu","identity","top",0.76561199,0.71848101975,0.829983048
"irgarol","ecxll3",0.000420617711695517,"mu","identity","beta",0.3522782,0.243352716,0.444259679
"irgarol","ecxll3",0.000420617711695517,"mu","identity","ec50",0.425226472743701,0.349446420697052,0.492100379311539
"irgarol","ecxexp",2.22509784680083e-17,"mu","identity","top",0.15718177,0.1396574055,0.178768458
"irgarol","ecxexp",2.22509784680083e-17,"mu","identity","beta",-0.420290225,-0.518973683,-0.33889218925
"irgarol","ecxwb1p3",7.5956779427386e-23,"mu","identity","top",0.96363645,0.88199376375,0.9941190915
"irgarol","ecxwb1p3",7.5956779427386e-23,"mu","identity","beta",-0.864456095,-0.99657754225,-0.75570584375
"irgarol","ecxwb1p3",7.5956779427386e-23,"mu","identity","ec50",0.475421383535943,0.380295300877645,0.620168342024253
