"fit","x_e","y_e","y_ci","x_r","y_r","nec_vals"
"Cu",2.11322162162162,2903.5432731019,1808.32174854906,NA,NA,NA
"Cu",2.12347027027027,2903.33379855754,1808.2872508311,NA,NA,NA
"Cu",2.13371891891892,2903.12890962068,1808.25366550877,NA,NA,NA
"Cu",2.14396756756757,2902.92848460121,1808.22096411287,NA,NA,NA
"Cu",2.15421621621622,2902.73240559872,1808.18911919522,NA,NA,NA
"Cu",2.16446486486486,2902.54055836673,1808.15810428739,NA,NA,NA
"Cu",2.17471351351351,2902.35283218304,1808.12789386124,NA,NA,NA
"Cu",2.18496216216216,2902.16911972506,1808.09846329126,NA,NA,NA
"Cu",2.19521081081081,2901.98931695013,1808.06978881853,NA,NA,NA
"Cu",2.20545945945946,2901.81332298066,1808.04184751636,NA,NA,NA
"Cu",2.21570810810811,2901.64103999369,1808.01461725737,NA,NA,NA
"Cu",2.22595675675676,2901.47237311477,1807.98807668207,NA,NA,NA
"Cu",2.2362054054054,2901.30723031624,1807.96220516877,NA,NA,NA
"Cu",2.24645405405405,2901.14552231903,1807.93712844223,NA,NA,NA
"Cu",2.2567027027027,2900.98716249889,1807.72173395358,NA,NA,NA
"Cu",2.26695135135135,2900.83206679556,1807.49619352801,NA,NA,NA
"Cu",2.2772,2900.68015362576,1807.27513219175,NA,NA,NA
"Cu",2.28744864864865,2900.53134379977,1807.05844143045,NA,NA,NA
"Cu",2.2976972972973,2900.38556044054,1806.84601582844,NA,NA,NA
"Cu",2.30794594594595,2900.24272890664,1806.63775296689,NA,NA,NA
"Cu",2.31819459459459,2900.10484718405,1806.43355332589,NA,NA,NA
"Cu",2.32844324324324,2899.96996530605,1806.23332019,NA,NA,NA
"Cu",2.33869189189189,2899.8377984122,1806.03695955737,NA,NA,NA
"Cu",2.34894054054054,2899.70828030767,1805.84438005218,NA,NA,NA
"Cu",2.35918918918919,2899.5813466905,1805.65549284022,NA,NA,NA
"Cu",2.36943783783784,2899.45693508966,1805.47021154757,NA,NA,NA
"Cu",2.37968648648649,2899.33498480536,1805.28845218222,NA,NA,NA
"Cu",2.38993513513513,2899.21543685126,1805.11013305852,NA,NA,NA
"Cu",2.40018378378378,2899.11211054819,1804.93517472429,NA,NA,NA
"Cu",2.41043243243243,2899.05569570195,1804.76349989059,NA,NA,NA
"Cu",2.42068108108108,2898.97107991701,1804.59503336395,NA,NA,NA
"Cu",2.43092972972973,2898.87441331672,1804.42970198102,NA,NA,NA
"Cu",2.44117837837838,2898.77950443906,1804.26743454549,NA,NA,NA
"Cu",2.45142702702703,2898.68631414428,1804.10816176724,NA,NA,NA
