"fit","x","Estimate","Q2.5","Q97.5"
"no group term",1.69302702702703,310.718719448764,226.85603416305,441.709580836012
"no group term",1.70327567567568,309.914467545159,226.172227127697,440.906805787215
"no group term",1.71352432432432,309.171871809287,225.472071508144,440.182707118408
"no group term",1.72377297297297,308.43745601752,224.708993984733,439.467048009672
"no group term",1.73402162162162,307.738927852328,223.925888960613,438.386591121084
"no group term",1.74427027027027,306.976939093504,223.113161577593,437.767433735934
"no group term",1.75451891891892,306.267429178231,222.491176571937,437.164823490491
"no group term",1.76476756756757,305.587036041472,221.757505832049,436.478277051873
"no group term",1.77501621621622,304.906133006295,221.161431776933,435.775762509301
"no group term",1.78526486486486,304.243232005911,220.487280140698,435.130561271086
"no group term",1.79551351351351,303.667587202733,219.957806510947,434.574775406085
"no group term",1.80576216216216,303.102004521592,219.528685461646,433.769453180981
"no group term",1.81601081081081,302.523372408607,218.761867273453,433.143249916828
"no group term",1.82625945945946,301.923812479102,218.124957285181,432.60585325385
"no group term",1.83650810810811,301.36013099699,217.665147157574,432.080377268139
"no group term",1.84675675675676,300.736395490166,217.083652125975,431.335369484399
"no group term",1.85700540540541,300.239073388385,216.624186405124,430.736941213816
"no group term",1.86725405405405,299.691236721801,216.121284281099,430.247888717452
"no group term",1.8775027027027,299.144643313421,215.624533796611,429.813543413155
"no group term",1.88775135135135,298.69893418755,215.156311789218,429.392391986746
"no group term",1.898,298.21747790628,214.727449823633,428.988676283678
"no group term",1.90824864864865,297.794581981393,214.334116866131,428.612492239504
"no group term",1.9184972972973,297.293544450894,213.928509045701,428.118487561165
"no group term",1.92874594594595,296.900054735172,213.50436345163,427.641635373511
"no group term",1.93899459459459,296.412182333436,213.113667463668,427.159818223379
"no group term",1.94924324324324,295.995306403559,212.664538232849,426.662692043085
"no group term",1.95949189189189,295.526362784068,212.207693596348,426.14151239136
"no group term",1.96974054054054,295.142735014268,211.845163964901,425.681329455349
"no group term",1.97998918918919,294.75123149578,211.564877491288,425.127682886889
"no group term",1.99023783783784,294.388166050692,211.291308889508,424.741152577908
"no group term",2.00048648648649,294.043340819463,210.962942656958,424.470068506872
"no group term",2.01073513513513,293.716757552086,210.632242397753,424.040917298103
"no group term",2.02098378378378,293.390636441549,210.24634687588,423.657902120433
"no group term",2.03123243243243,293.101206757266,209.959443205169,423.267852891935
"no group term",2.04148108108108,292.715456031659,209.60064554927,422.886562054897
"no group term",2.05172972972973,292.39910105252,209.249837022798,422.512655211198
"no group term",2.06197837837838,292.132231955649,208.907909229472,422.146142239829
"no group term",2.07222702702703,291.793940161206,208.621088385132,421.847238701447
"no group term",2.08247567567568,291.459621084285,208.242146222313,421.615344899848
"no group term",2.09272432432432,291.149828808886,207.922212982018,421.082700261121
"no group term",2.10297297297297,290.853327265489,207.628338578225,420.748982959357
"no group term",2.11322162162162,290.604020802701,207.301072689445,420.418108942242
"no group term",2.12347027027027,290.266547541857,207.027594558678,420.116527347737
"no group term",2.13371891891892,289.945023544773,206.761252035684,419.821440019217
"no group term",2.14396756756757,289.673213419452,206.500667982519,419.463506748346
"no group term",2.15421621621622,289.373080972767,206.245691260631,419.161917467758
"no group term",2.16446486486486,289.122059822778,205.996175390804,418.866714050607
"no group term",2.17471351351351,288.8362402128,205.72706719765,418.577732003163
"no group term",2.18496216216216,288.588731256082,205.45634067014,418.294811816021
"no group term",2.19521081081081,288.355402100282,205.194314917947,418.017798790637
"no group term",2.20545945945946,288.076877140014,204.996681333384,417.746160919929
"no group term",2.21570810810811,287.826822687322,204.81335855961,417.404410242473
"no group term",2.22595675675676,287.62639919491,204.551325847412,417.120209109704
"no group term",2.2362054054054,287.4328471931,204.294753801314,416.959306846587
"no group term",2.24645405405405,287.184619462326,204.043504376293,416.711649586826
