"model","value"
"X30",-0.524117664451052
"X30",-0.507112534443158
"X30",-0.915495196142482
"X30",-1.23341596708783
"X30",-0.750710980108217
"X30",-0.997481463660884
"X30",-0.496897895865782
"X30",-1.02331631904651
"X30",-0.883913439777909
"X30",-0.940665960550477
"X30",-0.828983430516186
"X30",-0.487936696700991
"X30",-0.621396697340202
"X30",-0.669488417787381
"X30",-0.757646667324457
"X30",-0.356404675105374
"X30",-0.816351669630108
"X30",-0.779234203058436
"X30",-0.494465174721588
"X30",-1.03317663015697
"X30",-1.45317400676018
"X30",-0.612406956122869
"X30",-0.568818681933046
"X30",-0.700520393744481
"X30",-0.745760256102936
"X30",-0.399467193133799
