"conc","rlu_cens","plate"
3.9836,38,"Cu 23Apr24 Rep8B"
3.9836,38,"Cu 23Apr24 Rep8B"
0.002,745560,"Cu 23Apr24 Rep9B"
0.002,801540,"Cu 23Apr24 Rep9B"
0.002,747152,"Cu 23Apr24 Rep9B"
0.002,782587,"Cu 23Apr24 Rep9B"
0.0099632,739759,"Cu 23Apr24 Rep9B"
0.0099632,715614,"Cu 23Apr24 Rep9B"
0.0099632,684057,"Cu 23Apr24 Rep9B"
0.0099632,678239,"Cu 23Apr24 Rep9B"
0.017484,694789,"Cu 23Apr24 Rep9B"
0.017484,721238,"Cu 23Apr24 Rep9B"
0.017484,665955,"Cu 23Apr24 Rep9B"
0.017484,681065,"Cu 23Apr24 Rep9B"
0.032968,627942,"Cu 23Apr24 Rep9B"
0.032968,648957,"Cu 23Apr24 Rep9B"
0.032968,625854,"Cu 23Apr24 Rep9B"
0.032968,590158,"Cu 23Apr24 Rep9B"
0.063936,466542,"Cu 23Apr24 Rep9B"
0.063936,547282,"Cu 23Apr24 Rep9B"
0.063936,515814,"Cu 23Apr24 Rep9B"
0.063936,522313,"Cu 23Apr24 Rep9B"
0.1263144,113740,"Cu 23Apr24 Rep9B"
0.1263144,129074,"Cu 23Apr24 Rep9B"
0.1263144,116504,"Cu 23Apr24 Rep9B"
0.1263144,138211,"Cu 23Apr24 Rep9B"
0.2510712,20250,"Cu 23Apr24 Rep9B"
0.2510712,22874,"Cu 23Apr24 Rep9B"
0.2510712,1402,"Cu 23Apr24 Rep9B"
0.2510712,7302,"Cu 23Apr24 Rep9B"
0.4997,609,"Cu 23Apr24 Rep9B"
0.4997,2256,"Cu 23Apr24 Rep9B"
0.4997,271,"Cu 23Apr24 Rep9B"
0.4997,954,"Cu 23Apr24 Rep9B"
0.9974,14,"Cu 23Apr24 Rep9B"
0.9974,14,"Cu 23Apr24 Rep9B"
0.9974,14,"Cu 23Apr24 Rep9B"
0.9974,381,"Cu 23Apr24 Rep9B"
1.9928,14,"Cu 23Apr24 Rep9B"
1.9928,85,"Cu 23Apr24 Rep9B"
1.9928,14,"Cu 23Apr24 Rep9B"
1.9928,698,"Cu 23Apr24 Rep9B"
3.9836,587,"Cu 23Apr24 Rep9B"
3.9836,851,"Cu 23Apr24 Rep9B"
3.9836,566,"Cu 23Apr24 Rep9B"
3.9836,178,"Cu 23Apr24 Rep9B"
0.004,1011859,"Cu 28Mar24 Rep1B"
0.004,949157,"Cu 28Mar24 Rep1B"
0.004,919565,"Cu 28Mar24 Rep1B"
